Datum;Rechnung;Artikel;Preis;inkl.;MwSt;USt;Porto;Gesamt;calc
2022-07-26;0000027;0075379;19,00 ¤;Nein;0%;0,00 ¤;15,00 ¤;34,00 ¤;34,00
2022-07-26;0000030;0106584;25,00 ¤;Ja;7%;1,64 ¤;0,00 ¤;25,00 ¤;25,00
2022-07-26;0000032;0034994;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
2022-07-26;0000008;0113859;20,00 ¤;Ja;7%;1,31 ¤;0,00 ¤;20,00 ¤;20,00
2022-07-26;0000031;0115683;42,00 ¤;Ja;7%;2,75 ¤;0,00 ¤;42,00 ¤;42,00
2022-07-26;0000015;0111841;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-26;0000016;0108289;13,00 ¤;Ja;7%;0,85 ¤;0,00 ¤;13,00 ¤;13,00
2022-07-26;0000017;0107400;13,00 ¤;Ja;7%;0,85 ¤;0,00 ¤;13,00 ¤;13,00
2022-07-26;0000010;0114970;20,00 ¤;Ja;7%;1,31 ¤;0,00 ¤;20,00 ¤;20,00
2022-07-26;0000033;0102553;17,00 ¤;Ja;7%;1,11 ¤;0,00 ¤;17,00 ¤;17,00
2022-07-26;0000034;0101580;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000021;0107351;51,00 ¤;Ja;7%;3,34 ¤;0,00 ¤;51,00 ¤;51,00
2022-07-26;0000035;0047780;13,00 ¤;Ja;7%;0,85 ¤;0,00 ¤;13,00 ¤;13,00
2022-07-26;0000022;0108681;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-26;0000014;0110685;21,00 ¤;Ja;7%;1,37 ¤;0,00 ¤;21,00 ¤;21,00
2022-07-26;0000024;0115286;22,00 ¤;Ja;7%;1,44 ¤;0,00 ¤;22,00 ¤;22,00
2022-07-26;0000011;0112850;55,00 ¤;Ja;7%;3,60 ¤;0,00 ¤;55,00 ¤;55,00
2022-07-26;0000023;0110787;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000019;0113664;14,00 ¤;Ja;7%;0,92 ¤;0,00 ¤;14,00 ¤;14,00
2022-07-26;0000036;0115664;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000018;0077313;30,00 ¤;Ja;7%;1,96 ¤;0,00 ¤;30,00 ¤;30,00
2022-07-26;0000028;0087797;20,00 ¤;Ja;7%;1,31 ¤;0,00 ¤;20,00 ¤;20,00
2022-07-26;0000038;0007430;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000040;0094047;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000041;0113322;50,00 ¤;Ja;7%;3,27 ¤;0,00 ¤;50,00 ¤;50,00
2022-07-26;0000042;0056048;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000005;0092512;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000007;0109742;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000009;0108526;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000048;0007109;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000043;0069710;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000047;0040908;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000045;0109122;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000044;0106897;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000050;0115063;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
2022-07-26;0000051;0114135;35,00 ¤;Ja;7%;2,29 ¤;0,00 ¤;35,00 ¤;35,00
2022-07-28;0000053;0106252;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-29;0000055;0072508;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-29;0000056;0083349;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
